Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
1110	1196.22	1.07768	1557.06	1.40276	93.0409	0.0838206	1196.22	1557.06	8.09819	0.00729566	14.3916	0.0129654	8437139	24876620	2658792	8090659	2180632	2281424	2420046
778	67.6096	0.0869018	149.216	0.191794	0	0	67.6096	149.216	19.2095	0.0246909	19.0929	0.024541	121024	4744	1226	1505	1525	0	0
999	0	0	124.336	0.12446	0	0	0	124.336	5.92407	0.00593	22.0671	0.0220892	136686	34871	93548	49924	12238	3645	6620
1916	1875.31	0.978761	732.398	0.382253	680.7	0.355271	1875.31	732.398	118.307	0.0617466	140.078	0.0731097	56502	46235	15785	27774	27794	0	0
800	0	0	0	0	0	0	0	0	5.5447	0.00693088	15.351	0.0191888	1258870	1423945	101611	199161	30868	132613	573504
1271	339.184	0.266863	492.289	0.387324	71.4413	0.0562087	339.184	492.289	10.7246	0.00843794	41.5438	0.0326859	302474	31517	326859	327747	3884	1199	23627
561	220.231	0.392568	219.056	0.390474	138.249	0.246434	220.231	219.056	9.30198	0.0165811	10.266	0.0182995	208383	223955	16852	31167	8642	0	0
1197	0	0	0	0	85.7002	0.0715958	0	0	14.0004	0.0116962	7.67552	0.0064123	59083	34080	16858	28642	4422	744	1212
968	250.583	0.258866	464.088	0.47943	50.2163	0.0518763	250.583	464.088	20.1579	0.0208243	33.9642	0.035087	529680	313403	100317	100525	31783	0	16048
878	1980.07	2.25521	273.647	0.311671	147.522	0.16802	1980.07	273.647	11.3521	0.0129294	26.7684	0.0304879	243489	7606	6289	6886	6346	2409	0
690	400.444	0.580354	618.042	0.895714	81.1673	0.117634	400.444	618.042	8.35353	0.0121066	2.63846	0.00382386	52881	177272	99686	11573	5932	265	56662
1008	155.389	0.154156	0	0	0	0	155.389	0	4.23878	0.00420514	0	0	7153	531176	21275	21944	1364	13298	35950
745	5822.39	7.81529	237.804	0.3192	229.293	0.307776	5822.39	237.804	34.9463	0.0469077	44.9978	0.0603997	4107972	20547453	1669662	3761492	493658	450682	1433042
237	136.492	0.575917	154.78	0.653081	32.3787	0.136619	136.492	154.78	5.50093	0.0232107	31.0859	0.131164	13452	823780	5505	12029	4487	2179	465
692	317.215	0.458402	295.277	0.426701	0	0	317.215	295.277	4.52331	0.00653658	47.4443	0.0685612	10336	2000665	9843	9690	6520	0	25971
2843	11548.4	4.06205	1373.06	0.482962	901.421	0.317067	11548.4	1373.06	188.958	0.0664642	119.354	0.0419818	0	1711480	3519	4977	4061	4381	0
938	0	0	59.3796	0.0633045	136.725	0.145762	0	59.3796	3.73538	0.00398228	29.7427	0.0317086	4443	329587	614	1152	1152	0	3720
687	2531.75	3.68522	289.241	0.421021	580.376	0.844797	2531.75	289.241	195.867	0.285104	173.323	0.252289	200462	987	31006	32102	30242	11933	0
1131	256.263	0.226581	134.727	0.119122	0	0	256.263	134.727	15.2042	0.0134431	26.4326	0.023371	655633	389489	176707	74162	28802	333	18837
1126	261.12	0.231901	665.796	0.591293	233.188	0.207095	261.12	665.796	9.95858	0.00884421	22.0671	0.0195978	919979	898835	50635	14642	6489	5642	14794
1558	177.529	0.113947	245.153	0.157351	20.5494	0.0131896	177.529	245.153	28.5479	0.0183235	56.1273	0.0360252	2810349	8312190	684737	2806496	152216	15867	0
892	152.856	0.171363	542.937	0.608673	323.368	0.362521	152.856	542.937	46.9184	0.0525991	68.6	0.0769058	208829	551716	51635	51967	9507	120	0
603	89.1879	0.147907	272.464	0.451847	0	0	89.1879	272.464	2.80153	0.00464599	9.78629	0.0162293	2603167	107224	15230	162035	15535	15567	24793
660	0	0	0	0	0	0	0	0	0	0	0	0	12479	86744	0	365	51	410	1005
1194	364.119	0.304957	824.552	0.690579	0	0	364.119	824.552	23.5577	0.0197301	40.2485	0.033709	229661	1578	49883	20068	23887	408	24001
501	13.0099	0.0259679	343.218	0.685065	87.5793	0.174809	13.0099	343.218	6.09188	0.0121594	0	0	48505	81511	17276	33057	33057	3060	13242
818	1906.07	2.33015	100.507	0.122869	0	0	1906.07	100.507	24.0976	0.0294592	25.8089	0.0315513	88903	4963280	58869	3444	3444	7217	6099
1117	649.212	0.58121	1692.28	1.51503	265.827	0.237983	649.212	1692.28	21.0115	0.0188107	25.6171	0.0229338	3222152	8664973	2280409	2807472	24628	564	18224
793	872.571	1.10034	471.877	0.595053	35.9635	0.0453511	872.571	471.877	9.53544	0.0120245	27.8238	0.0350867	0	11339	2298	2586	0	0	0
634	242.536	0.382549	147.303	0.23234	0	0	242.536	147.303	7.49994	0.0118296	0	0	1051682	559572	499150	854695	9480	15070	56578
329	0	0	0	0	0	0	0	0	2.33461	0.00709608	6.71608	0.0204136	7506863	7479078	461822	174814	172288	1264718	567618
949	0	0	0	0	0	0	0	0	0	0	0	0	53978	379417	29091	29872	23093	3860	6922
933	118.914	0.127454	450.305	0.482642	155.372	0.166529	118.914	450.305	9.71782	0.0104157	34.8756	0.0373801	920704	790350	231458	192164	16924	2222	4916
8077	3576.07	0.442747	3979.85	0.492739	1765.07	0.218531	3576.07	3979.85	213.785	0.0264684	151.592	0.0187683	3041069	2548048	54100	1024690	54541	11233	18035
451	0	0	112.491	0.249425	75.3025	0.166968	0	112.491	3.6916	0.00818537	32.1892	0.071373	249821	2369031	130843	72474	17018	1198	4657
735	0	0	0	0	0	0	0	0	0	0	0	0	258851	1506366	69017	302904	51336	1509	0
345	0	0	0	0	0	0	0	0	9.95129	0.0288443	5.22895	0.0151564	282388	38964	294625	12883	12835	10413	27587
675	105.738	0.156649	118.892	0.176137	110.951	0.164372	105.738	118.892	1.71448	0.00253997	13.672	0.0202549	508841	275827	263320	9141	9181	12724	8645
4910	1047.91	0.213424	5701.5	1.1612	398.152	0.0810901	1047.91	5701.5	62.8886	0.0128083	102.66	0.0209084	35676	400520	204166	7577	7557	746	3555
701	86.6628	0.123627	206.319	0.294321	0	0	86.6628	206.319	8.36083	0.011927	26.4806	0.0377754	438491	481424	116680	117330	0	8381	9328
540	166.878	0.309033	386.22	0.715221	33.6997	0.0624068	166.878	386.22	8.47756	0.0156992	14.3916	0.0266511	149509	476733	98794	29604	1827	5479	13970
514	0	0	173.385	0.337324	0	0	0	173.385	8.18574	0.0159256	15.351	0.0298658	1213841	1222857	119548	12591	4327	2738	45635
1101	445.293	0.404444	1313.81	1.19329	175.878	0.159744	445.293	1313.81	20.1579	0.0183087	15.351	0.0139428	85709	215004	73264	74356	44859	7252	0
936	286.244	0.305816	484.05	0.517147	206.229	0.220331	286.244	484.05	24.7761	0.0264702	26.8643	0.0287012	182287	518001	176461	111635	11795	9178	20555
669	1599.96	2.39157	0	0	137.633	0.205729	1599.96	0	7.9158	0.0118323	23.6022	0.0352799	24370	15690	56459	37480	3628	270	7480
