DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	472	339.451	0.719175	67.9289	0.143917	31.125	0.0659429	411.2	0.871186	20.8875	0.0442532	21.7793	0.0461426	0	647	13916	656	6583	5192	4912
1	1169	400.682	0.342756	637.434	0.545282	74.9613	0.0641243	16021.8	13.7056	193.474	0.165504	118.491	0.101361	0	0	58278	0	180692	18757	103987
1	842	4282.13	5.08567	252.729	0.300153	23100.8	27.4356	2035.6	2.41758	51.3761	0.0610167	22.4509	0.0266638	1691	0	2225	265	0	32817	0
1	1329	3786.33	2.849	250.979	0.188848	4012.91	3.01949	2814.3	2.11761	121.918	0.0917366	216.833	0.163155	0	1324	3589	1629	0	30966	343
1	557	310.641	0.557704	534.774	0.960097	173.835	0.312091	555.3	0.996948	4.07828	0.00732186	7.67552	0.0137801	0	0	11454	4610	43217	7372	202479
1	794	23.2981	0.0293427	653.615	0.823193	0	0	384.3	0.484005	4.14394	0.00521906	9.40251	0.011842	12450	10433	29063	7115	14574	3282	38930
1	1118	7517.5	6.72406	214.373	0.191747	108.244	0.0968197	2333.8	2.08748	108.997	0.0974931	52.6733	0.0471138	5376	255	3989	2227	3487	400078	0
1	784	3448.43	4.3985	165.363	0.210923	83.3614	0.106328	501.8	0.640051	31.5684	0.0402658	13.624	0.0173776	4405	0	5294	3532	4792	399107	0
1	562	0	0	0	0	18.6027	0.0331009	180	0.320285	7.07679	0.0125921	21.2036	0.0377289	11177	1006	912	11181	258009	123340	511276
1	1353	3489.07	2.57876	319.158	0.235889	4386.97	3.2424	1159.6	0.857058	64.4937	0.0476672	108.417	0.0801306	0	326	10789	297	0	27959	3012
1	3645	6632.84	1.81971	1623.91	0.445518	52380	14.3704	5257.8	1.50438	584.062	0.160236	502.603	0.137888	0	0	12073	0	0	29931	0
1	2063	12100.6	5.86555	595.571	0.288692	558.221	0.270587	1539.8	0.746389	98.0391	0.0475226	83.0875	0.0402751	328	1682	7079	5770	4719	36507	0
1	1833	8883.3	4.84632	409.278	0.223283	529.994	0.28914	1141.5	0.62275	41.7239	0.0227626	48.9314	0.0266947	0	0	4868	4868	3986	38948	0
1	530	221.488	0.417902	114.001	0.215096	129.398	0.244147	193.8	0.36566	6.30346	0.0118933	13.4322	0.0253437	0	20155	12342	12405	144762	85054	395175
1	1122	157.228	0.140132	155.055	0.138195	0	0	427.1	0.38066	8.70373	0.00775733	20.1003	0.0179147	29375	4610	121198	41778	120340	150610	210446
1	1338	0	0	0	0	0	0	0	0	2.1887	0.0016358	15.351	0.0114731	2842	48278	54423	54423	54242	107583	160123
1	562	23.906	0.0425373	433.98	0.772206	60.4492	0.107561	643.1	1.14431	4.99023	0.00887942	20.4361	0.0363631	5298	3025	13503	13543	13637	208764	47569
1	1169	4452.18	3.80854	345.095	0.295206	554.723	0.474528	703.9	0.602139	29.759	0.0254568	39.8168	0.0340605	2033	965	8171	4432	4549	17992	0
1	40110	600.07	0.0149606	1831.56	0.0456633	14570.8	0.363271	3687.8	1.68855	1142.28	0.0284787	945.816	0.0235806	0	0	0	0	0	1098	56911
1	502	99.1726	0.197555	278.836	0.55545	74.4848	0.148376	356.4	0.70996	8.60159	0.0171346	0	0	13678	5098	12241	12264	41048	12342	47081
1	1729	9583.92	5.54304	780.634	0.451494	90255.3	52.2009	9975	5.76923	1249.69	0.722782	1115.92	0.645416	566	0	1656	0	0	61543	0
1	2951	280.638	0.0950991	2902.62	0.983605	424.084	0.143708	1869.7	0.633582	44.5692	0.0151031	178.456	0.060473	480	4900	34279	21859	33092	92028	44312
