DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	639	0	0	118.892	0.18606	0	0	208.9	0.326917	8.15655	0.0127646	13.4322	0.0210206	0	8040	59000	59008	665770	1470477	1066830
1	769	295.643	0.384451	0	0	0	0	115.6	0.150325	4.30444	0.00559745	6.71608	0.00873352	0	9405	11048	11187	10818	1223964	48190
1	453	211.476	0.466835	0	0	0	0	70	0.210843	0.517993	0.00114347	0	0	104190	31808	1276774	40289	1703820	1947246	1688107
1	495	0	0	0	0	0	0	0	0	0	0	0	0	0	173995	378171	401459	805217	1048643	789504
1	773	248.51	0.321488	229.123	0.296408	0.46179	0.0005974	509.4	0.840594	13.621	0.017621	38.7614	0.0501441	50219	59	752	752	1155	12480	25351
1	408	0	0	0	0	23.7206	0.0581387	135.5	0.58658	2.8599	0.00700956	17.078	0.0418579	19585	1454	10713	10733	12751	1265296	1013503
1	779	187.508	0.240703	88.6401	0.113787	0	0	69	0.0885751	2.23247	0.00286582	0	0	24912	3785	254764	17070	174064	3411355	850970
1	401	0	0	0	0	0	0	24.7	0.061596	6.62446	0.0165199	0	0	1190	505	198044	198084	1855641	1944143	1866602
1	749	160.067	0.213707	153.506	0.204948	0	0	190.4	0.254206	4.84432	0.00646772	1.15133	0.00153715	7045	1636	693427	36546	273977	2491701	2907558
1	739	0	0	0	0	0	0	52.5	0.0710419	6.10647	0.00826315	4.89315	0.00662131	9669	4277	21370	157650	439746	1776017	2191874
1	962	80.4091	0.0835853	73.857	0.0767744	0	0	48.4	0.0582431	5.40608	0.00561963	17.126	0.0178025	6757	2241	2217	2256	62577	27282	287860
1	462	0	0	118.892	0.257343	0	0	69.7	0.150866	5.39879	0.0116857	2.87832	0.00623013	10812	14404	30889	30909	30859	3340	37709
1	927	422.953	0.45626	364.625	0.393339	40.5545	0.0437482	167.6	0.180798	6.7193	0.00724844	8.68293	0.0093667	0	497	78990	8970	26133	26697	6506
1	726	0	0	118.892	0.163764	1.53036	0.00210793	0	0	5.26746	0.00725546	0	0	4016	23246	469107	22667	22788	5974801	472960
1	384	0	0	0	0	0	0	476.2	2.07043	1.16731	0.00303986	0	0	35475	39020	324329	99007	98714	323112	138584
1	1136	55.6079	0.0489507	24.0527	0.0211732	0	0	0	0	6.36182	0.0056002	6.71608	0.00591204	0	1592	55944	53728	129603	68514	117426
